YEAR, Country, I10GDP, I05HICP_T, I05HICP_R, I15HPI, UNEMPLOYMENT, I10LABOUR, KEY1
2010-Q1,AT,98.00499,108.63999,113.76000,75.05000,5.40000,98.77799,AT2010-Q1
2010-Q2,AT,99.46499,109.65000,114.20999,77.20999,5.40000,99.74099,AT2010-Q2
2010-Q3,AT,100.67700,109.40000,115.48000,78.19000,5.09999,100.44100,AT2010-Q3
2010-Q4,AT,101.85299,110.43000,116.01999,78.83999,4.90000,101.04000,AT2010-Q4
2011-Q1,AT,102.55200,111.91000,116.65000,78.95999,5.19999,101.49400,AT2011-Q1
2011-Q2,AT,103.35600,113.69999,117.73000,81.27999,4.80000,101.44100,AT2011-Q2
2011-Q3,AT,103.71499,113.58000,119.54000,82.58999,4.30000,101.63999,AT2011-Q3
2011-Q4,AT,103.93800,114.48999,120.62000,83.05999,5.19999,101.30000,AT2011-Q4
2012-Q1,AT,104.66200,114.94999,121.69999,85.30000,4.90000,101.79900,AT2012-Q1
2012-Q2,AT,103.91600,116.26999,123.59999,85.44000,5.19999,101.25800,AT2012-Q2
2012-Q3,AT,103.87599,116.30999,124.50000,88.70999,5.40000,100.87200,AT2012-Q3
2012-Q4,AT,103.56700,117.83000,125.58000,88.00000,5.30000,100.75800,AT2012-Q4
2013-Q1,AT,103.72100,117.94999,126.58000,89.05999,5.90000,100.82399,AT2013-Q1
2013-Q2,AT,103.85900,118.87999,127.20999,92.25000,5.50000,100.60399,AT2013-Q2
2013-Q3,AT,104.13099,118.59999,128.02000,91.79000,5.69999,100.70899,AT2013-Q3
2013-Q4,AT,104.70999,119.76999,128.91999,91.68000,5.90000,101.00800,AT2013-Q4
2014-Q1,AT,104.57399,119.69999,130.44999,92.88999,6.09999,100.36599,AT2014-Q1
2014-Q2,AT,104.97200,120.77999,131.89999,94.34999,6.00000,100.83399,AT2014-Q2
2014-Q3,AT,105.23500,120.40000,133.42999,95.31999,6.00000,100.68800,AT2014-Q3
2014-Q4,AT,105.07599,121.26999,135.24000,96.13999,6.09999,100.69599,AT2014-Q4
2015-Q1,AT,105.31300,120.44000,137.03999,98.19000,6.00000,100.74900,AT2015-Q1
2015-Q2,AT,105.43099,121.95999,138.38999,99.97000,6.30000,100.81800,AT2015-Q2
2015-Q3,AT,106.24600,121.44999,139.38999,101.23000,6.09999,101.32199,AT2015-Q3
2015-Q4,AT,106.29399,122.16999,139.57000,100.61000,6.30000,101.26799,AT2015-Q4
2016-Q1,AT,106.98200,121.68000,140.55999,104.04000,6.40000,101.70400,AT2016-Q1
2016-Q2,AT,107.41500,122.73000,142.27000,106.69999,6.59999,101.49700,AT2016-Q2
2016-Q3,AT,107.95700,122.37999,143.63000,108.08000,6.59999,101.48699,AT2016-Q3
2016-Q4,AT,109.12999,123.95999,145.07000,108.00000,6.19999,102.14299,AT2016-Q4
2017-Q1,AT,109.43800,124.33999,146.33000,109.76000,6.09999,102.15399,AT2017-Q1
2017-Q2,AT,110.06099,125.37000,147.86999,112.45999,5.90000,102.28900,AT2017-Q2
2017-Q3,AT,110.80100,125.08000,149.66999,113.66999,5.90000,102.52500,AT2017-Q3
2017-Q4,AT,111.62799,126.91000,151.28999,112.65000,5.80000,102.66000,AT2017-Q4
2018-Q1,AT,112.38600,126.77999,152.38000,115.12999,5.40000,102.97599,AT2018-Q1
2018-Q2,AT,112.74800,128.05000,153.46000,118.94000,5.00000,102.73500,AT2018-Q2
2018-Q3,AT,113.16999,127.88999,155.08000,120.09999,5.30000,102.89399,AT2018-Q3
2018-Q4,AT,114.99500,129.60000,156.44000,121.15000,5.09999,103.83300,AT2018-Q4
2019-Q1,AT,115.32399,128.80999,157.25000,121.52999,5.09999,104.16200,AT2019-Q1
2019-Q2,AT,114.95600,130.17999,158.50999,125.79000,4.80000,103.46499,AT2019-Q2
2019-Q3,AT,115.08399,129.61999,159.67999,127.80999,4.80000,103.62200,AT2019-Q3
2019-Q4,AT,114.34999,131.36000,160.22999,128.74000,4.59999,102.71499,AT2019-Q4
2020-Q1,AT,111.79699,131.36000,161.75999,131.25999,4.69999,100.61100,AT2020-Q1
2020-Q2,AT,99.73699,131.55999,163.83000,134.08999,7.00000,93.00299,AT2020-Q2
2020-Q3,AT,110.37000,131.47999,166.99000,138.00000,6.40000,100.44599,AT2020-Q3
2020-Q4,AT,107.40699,132.78999,169.16000,138.71000,6.30000,98.14700,AT2020-Q4
2021-Q1,AT,105.81900,133.30999,170.52999,144.08000,7.09999,97.67700,AT2021-Q1
2021-Q2,AT,110.41000,134.94000,170.16999,149.11999,6.69999,99.68800,AT2021-Q2
2021-Q3,AT,114.62300,135.53999,167.69000,153.52000,5.50000,102.37899,AT2021-Q3
2021-Q4,AT,114.04399,137.94999,166.33000,157.33999,5.30000,101.61499,AT2021-Q4
2022-Q1,AT,115.37999,140.67999,166.85000,164.63000,4.69999,101.62899,AT2022-Q1
2022-Q2,AT,117.58100,145.53999,168.71000,169.42999,4.40000,103.23200,AT2022-Q2
2022-Q3,AT,117.68000,148.96000,170.96000,173.58999,4.90000,102.95500,AT2022-Q3
2022-Q4,AT,117.42299,153.24000,173.80000,166.32000,5.00000,102.29299,AT2022-Q4
2023-Q1,AT,117.22200,155.58000,177.44000,164.35000,4.90000,102.02400,AT2023-Q1
2023-Q2,AT,115.94300,158.11000,181.02000,164.67999,5.00000,100.66600,AT2023-Q2
2023-Q3,AT,115.44000,158.97999,185.32000,164.28999,5.40000,100.35700,AT2023-Q3
2023-Q4,AT,115.62200,161.11000,189.91999,163.36000,5.19999,100.33200,AT2023-Q4
2010-Q1,BE,98.89800,109.76000,109.16000,90.11000,8.69999,99.41999,BE2010-Q1
2010-Q2,BE,99.84700,111.73999,109.44999,90.83000,8.30000,100.11799,BE2010-Q2
2010-Q3,BE,100.33000,111.38999,109.68000,92.80000,8.60000,100.13999,BE2010-Q3
2010-Q4,BE,100.92500,112.68000,109.88999,92.65000,7.90000,100.32299,BE2010-Q4
2011-Q1,BE,101.57499,113.54000,110.34999,93.51000,7.19999,100.37899,BE2011-Q1
2011-Q2,BE,101.83000,115.23000,110.77999,94.16000,6.80000,100.25700,BE2011-Q2
2011-Q3,BE,102.14600,115.34999,110.95999,96.05000,7.59999,100.31999,BE2011-Q3
2011-Q4,BE,102.38500,116.41000,111.23999,95.79000,7.19999,100.45999,BE2011-Q4
2012-Q1,BE,102.59200,117.23000,111.93000,96.51000,7.40000,100.58300,BE2012-Q1
2012-Q2,BE,102.65899,118.18000,112.44999,96.72000,7.19999,100.50499,BE2012-Q2
2012-Q3,BE,103.00700,118.12000,112.77999,97.76999,7.69999,100.77200,BE2012-Q3
2012-Q4,BE,102.89600,119.08999,112.98000,97.43000,8.30000,100.80899,BE2012-Q4
2013-Q1,BE,102.56199,118.94999,113.45999,97.87000,8.60000,100.70600,BE2013-Q1
2013-Q2,BE,103.16899,119.77999,113.98000,98.33999,8.39999,101.48999,BE2013-Q2
2013-Q3,BE,103.45300,119.58999,114.22000,99.45999,8.60000,101.69100,BE2013-Q3
2013-Q4,BE,103.66500,120.19000,114.58000,98.52999,8.60000,101.81700,BE2013-Q4
2014-Q1,BE,104.13999,120.04000,115.50000,97.43000,8.80000,102.20700,BE2014-Q1
2014-Q2,BE,104.47499,120.58999,115.88999,97.41999,8.39999,102.28099,BE2014-Q2
2014-Q3,BE,105.27400,120.04000,116.20999,98.80999,8.69999,102.86599,BE2014-Q3
2014-Q4,BE,105.90599,120.19000,116.55000,99.19999,8.69999,103.12200,BE2014-Q4
2015-Q1,BE,106.55699,119.58000,116.94999,97.94000,9.00000,103.50700,BE2015-Q1
2015-Q2,BE,107.30500,121.41999,117.09999,99.12999,8.60000,103.93099,BE2015-Q2
2015-Q3,BE,107.46499,121.05000,117.23999,101.48999,8.30000,103.80100,BE2015-Q3
2015-Q4,BE,107.79900,121.79000,117.51999,101.43000,8.80000,103.97100,BE2015-Q4
2016-Q1,BE,107.72299,121.41000,118.02999,100.37000,8.50000,103.75299,BE2016-Q1
2016-Q2,BE,108.24500,123.41999,118.23000,101.41999,8.10000,103.95999,BE2016-Q2
2016-Q3,BE,108.34100,123.40000,118.40000,103.62999,7.80000,103.65899,BE2016-Q3
2016-Q4,BE,108.86000,124.18000,118.61000,103.90000,7.30000,103.89600,BE2016-Q4
