geo,new_time_period,obs_value,key1
AT,2010-Q1,108.64,AT2010-Q1
AT,2010-Q2,109.65,AT2010-Q2
AT,2010-Q3,109.4,AT2010-Q3
AT,2010-Q4,110.43,AT2010-Q4
AT,2011-Q1,111.91,AT2011-Q1
AT,2011-Q2,113.7,AT2011-Q2
AT,2011-Q3,113.58,AT2011-Q3
AT,2011-Q4,114.49,AT2011-Q4
AT,2012-Q1,114.95,AT2012-Q1
AT,2012-Q2,116.27,AT2012-Q2
AT,2012-Q3,116.31,AT2012-Q3
AT,2012-Q4,117.83,AT2012-Q4
AT,2013-Q1,117.95,AT2013-Q1
AT,2013-Q2,118.88,AT2013-Q2
AT,2013-Q3,118.6,AT2013-Q3
AT,2013-Q4,119.77,AT2013-Q4
AT,2014-Q1,119.7,AT2014-Q1
AT,2014-Q2,120.78,AT2014-Q2
AT,2014-Q3,120.4,AT2014-Q3
AT,2014-Q4,121.27,AT2014-Q4
AT,2015-Q1,120.44,AT2015-Q1
AT,2015-Q2,121.96,AT2015-Q2
AT,2015-Q3,121.45,AT2015-Q3
AT,2015-Q4,122.17,AT2015-Q4
AT,2016-Q1,121.68,AT2016-Q1
AT,2016-Q2,122.73,AT2016-Q2
AT,2016-Q3,122.38,AT2016-Q3
AT,2016-Q4,123.96,AT2016-Q4
AT,2017-Q1,124.34,AT2017-Q1
AT,2017-Q2,125.37,AT2017-Q2
AT,2017-Q3,125.08,AT2017-Q3
AT,2017-Q4,126.91,AT2017-Q4
AT,2018-Q1,126.78,AT2018-Q1
AT,2018-Q2,128.05,AT2018-Q2
AT,2018-Q3,127.89,AT2018-Q3
AT,2018-Q4,129.6,AT2018-Q4
AT,2019-Q1,128.81,AT2019-Q1
AT,2019-Q2,130.18,AT2019-Q2
AT,2019-Q3,129.62,AT2019-Q3
AT,2019-Q4,131.36,AT2019-Q4
AT,2020-Q1,131.36,AT2020-Q1
AT,2020-Q2,131.56,AT2020-Q2
AT,2020-Q3,131.48,AT2020-Q3
AT,2020-Q4,132.79,AT2020-Q4
AT,2021-Q1,133.31,AT2021-Q1
AT,2021-Q2,134.94,AT2021-Q2
AT,2021-Q3,135.54,AT2021-Q3
AT,2021-Q4,137.95,AT2021-Q4
AT,2022-Q1,140.68,AT2022-Q1
AT,2022-Q2,145.54,AT2022-Q2
AT,2022-Q3,148.96,AT2022-Q3
AT,2022-Q4,153.24,AT2022-Q4
AT,2023-Q1,155.58,AT2023-Q1
AT,2023-Q2,158.11,AT2023-Q2
AT,2023-Q3,158.98,AT2023-Q3
AT,2023-Q4,161.11,AT2023-Q4
BE,2010-Q1,109.76,BE2010-Q1
BE,2010-Q2,111.74,BE2010-Q2
BE,2010-Q3,111.39,BE2010-Q3
BE,2010-Q4,112.68,BE2010-Q4
BE,2011-Q1,113.54,BE2011-Q1
BE,2011-Q2,115.23,BE2011-Q2
BE,2011-Q3,115.35,BE2011-Q3
BE,2011-Q4,116.41,BE2011-Q4
BE,2012-Q1,117.23,BE2012-Q1
BE,2012-Q2,118.18,BE2012-Q2
BE,2012-Q3,118.12,BE2012-Q3
BE,2012-Q4,119.09,BE2012-Q4
BE,2013-Q1,118.95,BE2013-Q1
BE,2013-Q2,119.78,BE2013-Q2
BE,2013-Q3,119.59,BE2013-Q3
BE,2013-Q4,120.19,BE2013-Q4
BE,2014-Q1,120.04,BE2014-Q1
BE,2014-Q2,120.59,BE2014-Q2
BE,2014-Q3,120.04,BE2014-Q3
BE,2014-Q4,120.19,BE2014-Q4
BE,2015-Q1,119.58,BE2015-Q1
BE,2015-Q2,121.42,BE2015-Q2
BE,2015-Q3,121.05,BE2015-Q3
BE,2015-Q4,121.79,BE2015-Q4
BE,2016-Q1,121.41,BE2016-Q1
BE,2016-Q2,123.42,BE2016-Q2
BE,2016-Q3,123.4,BE2016-Q3
BE,2016-Q4,124.18,BE2016-Q4
BE,2017-Q1,125.0,BE2017-Q1
BE,2017-Q2,125.93,BE2017-Q2
BE,2017-Q3,125.77,BE2017-Q3
BE,2017-Q4,126.65,BE2017-Q4
BE,2018-Q1,126.97,BE2018-Q1
BE,2018-Q2,128.65,BE2018-Q2
BE,2018-Q3,129.2,BE2018-Q3
BE,2018-Q4,130.16,BE2018-Q4
BE,2019-Q1,129.5,BE2019-Q1
BE,2019-Q2,130.79,BE2019-Q2
BE,2019-Q3,130.34,BE2019-Q3
BE,2019-Q4,130.8,BE2019-Q4
BE,2020-Q1,130.74,BE2020-Q1
BE,2020-Q2,130.78,BE2020-Q2
BE,2020-Q3,130.89,BE2020-Q3
BE,2020-Q4,131.24,BE2020-Q4
BE,2021-Q1,131.84,BE2021-Q1
BE,2021-Q2,133.89,BE2021-Q2
BE,2021-Q3,135.21,BE2021-Q3
BE,2021-Q4,139.59,BE2021-Q4
BE,2022-Q1,143.85,BE2022-Q1
BE,2022-Q2,147.19,BE2022-Q2
BE,2022-Q3,150.06,BE2022-Q3
BE,2022-Q4,155.29,BE2022-Q4
BE,2023-Q1,152.37,BE2023-Q1
BE,2023-Q2,150.94,BE2023-Q2
BE,2023-Q3,152.4,BE2023-Q3
BE,2023-Q4,154.29,BE2023-Q4
BG,2010-Q1,134.58,BG2010-Q1
BG,2010-Q2,136.41,BG2010-Q2
BG,2010-Q3,136.98,BG2010-Q3
BG,2010-Q4,138.35,BG2010-Q4
BG,2011-Q1,140.64,BG2011-Q1
BG,2011-Q2,141.09,BG2011-Q2
BG,2011-Q3,141.24,BG2011-Q3
BG,2011-Q4,141.86,BG2011-Q4
BG,2012-Q1,143.28,BG2012-Q1
BG,2012-Q2,143.68,BG2012-Q2
BG,2012-Q3,145.47,BG2012-Q3
BG,2012-Q4,145.89,BG2012-Q4
BG,2013-Q1,146.36,BG2013-Q1
BG,2013-Q2,145.21,BG2013-Q2
BG,2013-Q3,144.5,BG2013-Q3
BG,2013-Q4,144.47,BG2013-Q4
BG,2014-Q1,143.71,BG2014-Q1
BG,2014-Q2,142.84,BG2014-Q2
BG,2014-Q3,142.79,BG2014-Q3
BG,2014-Q4,141.9,BG2014-Q4
BG,2015-Q1,141.23,BG2015-Q1
BG,2015-Q2,142.01,BG2015-Q2
BG,2015-Q3,141.47,BG2015-Q3
BG,2015-Q4,140.47,BG2015-Q4
BG,2016-Q1,139.68,BG2016-Q1
BG,2016-Q2,138.71,BG2016-Q2
BG,2016-Q3,139.92,BG2016-Q3
BG,2016-Q4,139.37,BG2016-Q4
BG,2017-Q1,140.75,BG2017-Q1
BG,2017-Q2,140.64,BG2017-Q2
BG,2017-Q3,141.14,BG2017-Q3
BG,2017-Q4,141.77,BG2017-Q4
BG,2018-Q1,142.95,BG2018-Q1
BG,2018-Q2,143.94,BG2018-Q2
BG,2018-Q3,146.26,BG2018-Q3
BG,2018-Q4,146.01,BG2018-Q4
BG,2019-Q1,146.52,BG2019-Q1
BG,2019-Q2,147.92,BG2019-Q2
BG,2019-Q3,149.55,BG2019-Q3
BG,2019-Q4,149.4,BG2019-Q4
BG,2020-Q1,150.88,BG2020-Q1
BG,2020-Q2,149.52,BG2020-Q2
BG,2020-Q3,150.38,BG2020-Q3
BG,2020-Q4,149.86,BG2020-Q4
BG,2021-Q1,151.23,BG2021-Q1
BG,2021-Q2,152.83,BG2021-Q2
BG,2021-Q3,154.77,BG2021-Q3
BG,2021-Q4,158.87,BG2021-Q4
BG,2022-Q1,164.63,BG2022-Q1
BG,2022-Q2,173.33,BG2022-Q2
BG,2022-Q3,178.25,BG2022-Q3
BG,2022-Q4,181.91,BG2022-Q4
BG,2023-Q1,186.61,BG2023-Q1
BG,2023-Q2,188.57,BG2023-Q2
BG,2023-Q3,191.11,BG2023-Q3
BG,2023-Q4,191.86,BG2023-Q4
CY,2010-Q1,109.95,CY2010-Q1
CY,2010-Q2,112.11,CY2010-Q2
CY,2010-Q3,112.47,CY2010-Q3
CY,2010-Q4,113.55,CY2010-Q4
CY,2011-Q1,113.4,CY2011-Q1
CY,2011-Q2,116.68,CY2011-Q2
CY,2011-Q3,115.76,CY2011-Q3
CY,2011-Q4,117.86,CY2011-Q4
CY,2012-Q1,117.08,CY2012-Q1
CY,2012-Q2,120.64,CY2012-Q2
CY,2012-Q3,120.33,CY2012-Q3
CY,2012-Q4,120.01,CY2012-Q4
CY,2013-Q1,119.09,CY2013-Q1
CY,2013-Q2,121.06,CY2013-Q2
CY,2013-Q3,120.75,CY2013-Q3
CY,2013-Q4,118.99,CY2013-Q4
CY,2014-Q1,117.62,CY2014-Q1
CY,2014-Q2,120.89,CY2014-Q2
CY,2014-Q3,121.43,CY2014-Q3
CY,2014-Q4,118.72,CY2014-Q4
CY,2015-Q1,116.49,CY2015-Q1
CY,2015-Q2,118.65,CY2015-Q2
CY,2015-Q3,118.91,CY2015-Q3
CY,2015-Q4,117.18,CY2015-Q4
