freq,geo,hhtyp,indic_is,unit,time_period,obs_value,key1
M,AT,,,I05,2010-01,113.67,AT2010-01
M,AT,,,I05,2010-02,113.67,AT2010-02
M,AT,,,I05,2010-03,113.94,AT2010-03
M,AT,,,I05,2010-04,113.94,AT2010-04
M,AT,,,I05,2010-05,114.21,AT2010-05
M,AT,,,I05,2010-06,114.48,AT2010-06
M,AT,,,I05,2010-07,115.02,AT2010-07
M,AT,,,I05,2010-08,115.57,AT2010-08
M,AT,,,I05,2010-09,115.84,AT2010-09
M,AT,,,I05,2010-10,115.84,AT2010-10
M,AT,,,I05,2010-11,116.11,AT2010-11
M,AT,,,I05,2010-12,116.11,AT2010-12
M,AT,,,I05,2011-01,116.38,AT2011-01
M,AT,,,I05,2011-02,116.65,AT2011-02
M,AT,,,I05,2011-03,116.92,AT2011-03
M,AT,,,I05,2011-04,117.19,AT2011-04
M,AT,,,I05,2011-05,117.73,AT2011-05
M,AT,,,I05,2011-06,118.28,AT2011-06
M,AT,,,I05,2011-07,118.82,AT2011-07
M,AT,,,I05,2011-08,119.63,AT2011-08
M,AT,,,I05,2011-09,120.17,AT2011-09
M,AT,,,I05,2011-10,120.44,AT2011-10
M,AT,,,I05,2011-11,120.71,AT2011-11
M,AT,,,I05,2011-12,120.71,AT2011-12
M,AT,,,I05,2012-01,121.25,AT2012-01
M,AT,,,I05,2012-02,121.79,AT2012-02
M,AT,,,I05,2012-03,122.06,AT2012-03
M,AT,,,I05,2012-04,122.88,AT2012-04
M,AT,,,I05,2012-05,123.69,AT2012-05
M,AT,,,I05,2012-06,124.23,AT2012-06
M,AT,,,I05,2012-07,124.50,AT2012-07
M,AT,,,I05,2012-08,124.50,AT2012-08
M,AT,,,I05,2012-09,124.50,AT2012-09
M,AT,,,I05,2012-10,125.04,AT2012-10
M,AT,,,I05,2012-11,125.58,AT2012-11
M,AT,,,I05,2012-12,126.12,AT2012-12
M,AT,,,I05,2013-01,126.39,AT2013-01
M,AT,,,I05,2013-02,126.67,AT2013-02
M,AT,,,I05,2013-03,126.67,AT2013-03
M,AT,,,I05,2013-04,126.94,AT2013-04
M,AT,,,I05,2013-05,127.21,AT2013-05
M,AT,,,I05,2013-06,127.48,AT2013-06
M,AT,,,I05,2013-07,127.75,AT2013-07
M,AT,,,I05,2013-08,128.02,AT2013-08
M,AT,,,I05,2013-09,128.29,AT2013-09
M,AT,,,I05,2013-10,128.56,AT2013-10
M,AT,,,I05,2013-11,128.83,AT2013-11
M,AT,,,I05,2013-12,129.37,AT2013-12
M,AT,,,I05,2014-01,129.91,AT2014-01
M,AT,,,I05,2014-02,130.45,AT2014-02
M,AT,,,I05,2014-03,131.00,AT2014-03
M,AT,,,I05,2014-04,131.54,AT2014-04
M,AT,,,I05,2014-05,131.81,AT2014-05
M,AT,,,I05,2014-06,132.35,AT2014-06
M,AT,,,I05,2014-07,132.89,AT2014-07
M,AT,,,I05,2014-08,133.43,AT2014-08
M,AT,,,I05,2014-09,133.97,AT2014-09
M,AT,,,I05,2014-10,134.51,AT2014-10
M,AT,,,I05,2014-11,135.33,AT2014-11
M,AT,,,I05,2014-12,135.87,AT2014-12
M,AT,,,I05,2015-01,136.68,AT2015-01
