freq,geo,hhtyp,indic_is,unit,time_period,obs_value,key1
Q,AT,,,I15_Q,2010-Q1,75.05,AT2010-Q1
Q,AT,,,I15_Q,2010-Q2,77.21,AT2010-Q2
Q,AT,,,I15_Q,2010-Q3,78.19,AT2010-Q3
Q,AT,,,I15_Q,2010-Q4,78.84,AT2010-Q4
Q,AT,,,I15_Q,2011-Q1,78.96,AT2011-Q1
Q,AT,,,I15_Q,2011-Q2,81.28,AT2011-Q2
Q,AT,,,I15_Q,2011-Q3,82.59,AT2011-Q3
Q,AT,,,I15_Q,2011-Q4,83.06,AT2011-Q4
Q,AT,,,I15_Q,2012-Q1,85.30,AT2012-Q1
Q,AT,,,I15_Q,2012-Q2,85.44,AT2012-Q2
Q,AT,,,I15_Q,2012-Q3,88.71,AT2012-Q3
Q,AT,,,I15_Q,2012-Q4,88.00,AT2012-Q4
Q,AT,,,I15_Q,2013-Q1,89.06,AT2013-Q1
Q,AT,,,I15_Q,2013-Q2,92.25,AT2013-Q2
Q,AT,,,I15_Q,2013-Q3,91.79,AT2013-Q3
Q,AT,,,I15_Q,2013-Q4,91.68,AT2013-Q4
Q,AT,,,I15_Q,2014-Q1,92.89,AT2014-Q1
Q,AT,,,I15_Q,2014-Q2,94.35,AT2014-Q2
Q,AT,,,I15_Q,2014-Q3,95.32,AT2014-Q3
Q,AT,,,I15_Q,2014-Q4,96.14,AT2014-Q4
Q,AT,,,I15_Q,2015-Q1,98.19,AT2015-Q1
Q,AT,,,I15_Q,2015-Q2,99.97,AT2015-Q2
Q,AT,,,I15_Q,2015-Q3,101.23,AT2015-Q3
Q,AT,,,I15_Q,2015-Q4,100.61,AT2015-Q4
Q,AT,,,I15_Q,2016-Q1,104.04,AT2016-Q1
Q,AT,,,I15_Q,2016-Q2,106.70,AT2016-Q2
Q,AT,,,I15_Q,2016-Q3,108.08,AT2016-Q3
Q,AT,,,I15_Q,2016-Q4,108.00,AT2016-Q4
Q,AT,,,I15_Q,2017-Q1,109.76,AT2017-Q1
Q,AT,,,I15_Q,2017-Q2,112.46,AT2017-Q2
Q,AT,,,I15_Q,2017-Q3,113.67,AT2017-Q3
Q,AT,,,I15_Q,2017-Q4,112.65,AT2017-Q4
Q,AT,,,I15_Q,2018-Q1,115.13,AT2018-Q1
Q,AT,,,I15_Q,2018-Q2,118.94,AT2018-Q2
Q,AT,,,I15_Q,2018-Q3,120.10,AT2018-Q3
Q,AT,,,I15_Q,2018-Q4,121.15,AT2018-Q4
Q,AT,,,I15_Q,2019-Q1,121.53,AT2019-Q1
Q,AT,,,I15_Q,2019-Q2,125.79,AT2019-Q2
Q,AT,,,I15_Q,2019-Q3,127.81,AT2019-Q3
Q,AT,,,I15_Q,2019-Q4,128.74,AT2019-Q4
Q,AT,,,I15_Q,2020-Q1,131.26,AT2020-Q1
Q,AT,,,I15_Q,2020-Q2,134.09,AT2020-Q2
Q,AT,,,I15_Q,2020-Q3,138.00,AT2020-Q3
Q,AT,,,I15_Q,2020-Q4,138.71,AT2020-Q4
Q,AT,,,I15_Q,2021-Q1,144.08,AT2021-Q1
Q,AT,,,I15_Q,2021-Q2,149.12,AT2021-Q2
Q,AT,,,I15_Q,2021-Q3,153.52,AT2021-Q3
Q,AT,,,I15_Q,2021-Q4,157.34,AT2021-Q4
Q,AT,,,I15_Q,2022-Q1,164.63,AT2022-Q1
Q,AT,,,I15_Q,2022-Q2,169.43,AT2022-Q2
Q,AT,,,I15_Q,2022-Q3,173.59,AT2022-Q3
Q,AT,,,I15_Q,2022-Q4,166.32,AT2022-Q4
Q,AT,,,I15_Q,2023-Q1,164.35,AT2023-Q1
Q,AT,,,I15_Q,2023-Q2,164.68,AT2023-Q2
Q,AT,,,I15_Q,2023-Q3,164.29,AT2023-Q3
Q,AT,,,I15_Q,2023-Q4,163.36,AT2023-Q4
Q,BE,,,I15_Q,2010-Q1,90.11,BE2010-Q1
Q,BE,,,I15_Q,2010-Q2,90.83,BE2010-Q2
Q,BE,,,I15_Q,2010-Q3,92.80,BE2010-Q3
Q,BE,,,I15_Q,2010-Q4,92.65,BE2010-Q4
Q,BE,,,I15_Q,2011-Q1,93.51,BE2011-Q1
Q,BE,,,I15_Q,2011-Q2,94.16,BE2011-Q2
Q,BE,,,I15_Q,2011-Q3,96.05,BE2011-Q3
Q,BE,,,I15_Q,2011-Q4,95.79,BE2011-Q4
Q,BE,,,I15_Q,2012-Q1,96.51,BE2012-Q1
Q,BE,,,I15_Q,2012-Q2,96.72,BE2012-Q2
Q,BE,,,I15_Q,2012-Q3,97.77,BE2012-Q3
Q,BE,,,I15_Q,2012-Q4,97.43,BE2012-Q4
Q,BE,,,I15_Q,2013-Q1,97.87,BE2013-Q1
Q,BE,,,I15_Q,2013-Q2,98.34,BE2013-Q2
Q,BE,,,I15_Q,2013-Q3,99.46,BE2013-Q3
Q,BE,,,I15_Q,2013-Q4,98.53,BE2013-Q4
Q,BE,,,I15_Q,2014-Q1,97.43,BE2014-Q1
Q,BE,,,I15_Q,2014-Q2,97.42,BE2014-Q2
Q,BE,,,I15_Q,2014-Q3,98.81,BE2014-Q3
Q,BE,,,I15_Q,2014-Q4,99.20,BE2014-Q4
Q,BE,,,I15_Q,2015-Q1,97.94,BE2015-Q1
Q,BE,,,I15_Q,2015-Q2,99.13,BE2015-Q2
Q,BE,,,I15_Q,2015-Q3,101.49,BE2015-Q3
Q,BE,,,I15_Q,2015-Q4,101.43,BE2015-Q4
Q,BE,,,I15_Q,2016-Q1,100.37,BE2016-Q1
Q,BE,,,I15_Q,2016-Q2,101.42,BE2016-Q2
Q,BE,,,I15_Q,2016-Q3,103.63,BE2016-Q3
Q,BE,,,I15_Q,2016-Q4,103.90,BE2016-Q4
Q,BE,,,I15_Q,2017-Q1,104.36,BE2017-Q1
Q,BE,,,I15_Q,2017-Q2,104.48,BE2017-Q2
Q,BE,,,I15_Q,2017-Q3,107.81,BE2017-Q3
Q,BE,,,I15_Q,2017-Q4,107.14,BE2017-Q4
Q,BE,,,I15_Q,2018-Q1,107.37,BE2018-Q1
Q,BE,,,I15_Q,2018-Q2,108.51,BE2018-Q2
Q,BE,,,I15_Q,2018-Q3,110.64,BE2018-Q3
Q,BE,,,I15_Q,2018-Q4,110.06,BE2018-Q4
Q,BE,,,I15_Q,2019-Q1,111.00,BE2019-Q1
Q,BE,,,I15_Q,2019-Q2,111.84,BE2019-Q2
Q,BE,,,I15_Q,2019-Q3,115.37,BE2019-Q3
Q,BE,,,I15_Q,2019-Q4,114.72,BE2019-Q4
Q,BE,,,I15_Q,2020-Q1,115.24,BE2020-Q1
Q,BE,,,I15_Q,2020-Q2,116.61,BE2020-Q2
Q,BE,,,I15_Q,2020-Q3,119.05,BE2020-Q3
Q,BE,,,I15_Q,2020-Q4,121.45,BE2020-Q4
Q,BE,,,I15_Q,2021-Q1,122.41,BE2021-Q1
Q,BE,,,I15_Q,2021-Q2,124.78,BE2021-Q2
Q,BE,,,I15_Q,2021-Q3,128.04,BE2021-Q3
Q,BE,,,I15_Q,2021-Q4,128.62,BE2021-Q4
Q,BE,,,I15_Q,2022-Q1,130.02,BE2022-Q1
Q,BE,,,I15_Q,2022-Q2,132.18,BE2022-Q2
Q,BE,,,I15_Q,2022-Q3,134.96,BE2022-Q3
Q,BE,,,I15_Q,2022-Q4,134.55,BE2022-Q4
Q,BE,,,I15_Q,2023-Q1,134.82,BE2023-Q1
Q,BE,,,I15_Q,2023-Q2,134.74,BE2023-Q2
Q,BE,,,I15_Q,2023-Q3,136.15,BE2023-Q3
Q,BE,,,I15_Q,2023-Q4,139.08,BE2023-Q4
Q,BG,,,I15_Q,2010-Q1,107.18,BG2010-Q1
Q,BG,,,I15_Q,2010-Q2,106.52,BG2010-Q2
Q,BG,,,I15_Q,2010-Q3,105.38,BG2010-Q3
Q,BG,,,I15_Q,2010-Q4,104.15,BG2010-Q4
Q,BG,,,I15_Q,2011-Q1,102.03,BG2011-Q1
Q,BG,,,I15_Q,2011-Q2,100.23,BG2011-Q2
Q,BG,,,I15_Q,2011-Q3,99.54,BG2011-Q3
Q,BG,,,I15_Q,2011-Q4,98.10,BG2011-Q4
Q,BG,,,I15_Q,2012-Q1,98.23,BG2012-Q1
Q,BG,,,I15_Q,2012-Q2,98.67,BG2012-Q2
Q,BG,,,I15_Q,2012-Q3,98.57,BG2012-Q3
Q,BG,,,I15_Q,2012-Q4,96.82,BG2012-Q4
Q,BG,,,I15_Q,2013-Q1,96.00,BG2013-Q1
Q,BG,,,I15_Q,2013-Q2,96.48,BG2013-Q2
Q,BG,,,I15_Q,2013-Q3,95.52,BG2013-Q3
Q,BG,,,I15_Q,2013-Q4,95.66,BG2013-Q4
Q,BG,,,I15_Q,2014-Q1,96.66,BG2014-Q1
Q,BG,,,I15_Q,2014-Q2,96.97,BG2014-Q2
Q,BG,,,I15_Q,2014-Q3,97.21,BG2014-Q3
Q,BG,,,I15_Q,2014-Q4,98.32,BG2014-Q4
Q,BG,,,I15_Q,2015-Q1,98.85,BG2015-Q1
Q,BG,,,I15_Q,2015-Q2,99.71,BG2015-Q2
Q,BG,,,I15_Q,2015-Q3,99.21,BG2015-Q3
Q,BG,,,I15_Q,2015-Q4,102.23,BG2015-Q4
Q,BG,,,I15_Q,2016-Q1,103.38,BG2016-Q1
Q,BG,,,I15_Q,2016-Q2,106.24,BG2016-Q2
Q,BG,,,I15_Q,2016-Q3,107.94,BG2016-Q3
Q,BG,,,I15_Q,2016-Q4,110.52,BG2016-Q4
Q,BG,,,I15_Q,2017-Q1,112.66,BG2017-Q1
Q,BG,,,I15_Q,2017-Q2,115.37,BG2017-Q2
Q,BG,,,I15_Q,2017-Q3,117.62,BG2017-Q3
Q,BG,,,I15_Q,2017-Q4,119.53,BG2017-Q4
Q,BG,,,I15_Q,2018-Q1,120.65,BG2018-Q1
Q,BG,,,I15_Q,2018-Q2,124.03,BG2018-Q2
Q,BG,,,I15_Q,2018-Q3,124.99,BG2018-Q3
Q,BG,,,I15_Q,2018-Q4,126.15,BG2018-Q4
Q,BG,,,I15_Q,2019-Q1,129.45,BG2019-Q1
Q,BG,,,I15_Q,2019-Q2,130.26,BG2019-Q2
Q,BG,,,I15_Q,2019-Q3,131.97,BG2019-Q3
Q,BG,,,I15_Q,2019-Q4,133.99,BG2019-Q4
Q,BG,,,I15_Q,2020-Q1,135.54,BG2020-Q1
Q,BG,,,I15_Q,2020-Q2,134.07,BG2020-Q2
Q,BG,,,I15_Q,2020-Q3,138.81,BG2020-Q3
Q,BG,,,I15_Q,2020-Q4,141.23,BG2020-Q4
Q,BG,,,I15_Q,2021-Q1,145.72,BG2021-Q1
Q,BG,,,I15_Q,2021-Q2,146.23,BG2021-Q2
Q,BG,,,I15_Q,2021-Q3,150.90,BG2021-Q3
Q,BG,,,I15_Q,2021-Q4,154.48,BG2021-Q4
Q,BG,,,I15_Q,2022-Q1,162.52,BG2022-Q1
Q,BG,,,I15_Q,2022-Q2,167.58,BG2022-Q2
Q,BG,,,I15_Q,2022-Q3,174.43,BG2022-Q3
Q,BG,,,I15_Q,2022-Q4,175.14,BG2022-Q4
Q,BG,,,I15_Q,2023-Q1,177.93,BG2023-Q1
Q,BG,,,I15_Q,2023-Q2,185.50,BG2023-Q2
Q,BG,,,I15_Q,2023-Q3,190.48,BG2023-Q3
Q,BG,,,I15_Q,2023-Q4,192.78,BG2023-Q4
Q,CY,,,I15_Q,2010-Q1,114.37,CY2010-Q1
Q,CY,,,I15_Q,2010-Q2,112.79,CY2010-Q2
Q,CY,,,I15_Q,2010-Q3,112.39,CY2010-Q3
Q,CY,,,I15_Q,2010-Q4,112.05,CY2010-Q4
Q,CY,,,I15_Q,2011-Q1,111.56,CY2011-Q1
Q,CY,,,I15_Q,2011-Q2,113.99,CY2011-Q2
Q,CY,,,I15_Q,2011-Q3,111.22,CY2011-Q3
Q,CY,,,I15_Q,2011-Q4,107.60,CY2011-Q4
Q,CY,,,I15_Q,2012-Q1,106.40,CY2012-Q1
Q,CY,,,I15_Q,2012-Q2,106.02,CY2012-Q2
Q,CY,,,I15_Q,2012-Q3,110.14,CY2012-Q3
Q,CY,,,I15_Q,2012-Q4,108.22,CY2012-Q4
Q,CY,,,I15_Q,2013-Q1,104.54,CY2013-Q1
Q,CY,,,I15_Q,2013-Q2,104.77,CY2013-Q2
Q,CY,,,I15_Q,2013-Q3,103.05,CY2013-Q3
Q,CY,,,I15_Q,2013-Q4,100.78,CY2013-Q4
Q,CY,,,I15_Q,2014-Q1,98.08,CY2014-Q1
Q,CY,,,I15_Q,2014-Q2,103.55,CY2014-Q2
Q,CY,,,I15_Q,2014-Q3,102.70,CY2014-Q3
Q,CY,,,I15_Q,2014-Q4,101.56,CY2014-Q4
Q,CY,,,I15_Q,2015-Q1,97.52,CY2015-Q1
Q,CY,,,I15_Q,2015-Q2,100.59,CY2015-Q2
Q,CY,,,I15_Q,2015-Q3,102.49,CY2015-Q3
