freq,geo,hhtyp,indic_is,unit,time_period,obs_value,key1
Q,AT,,,I10,2010-Q1,98.778,AT2010-Q1
Q,AT,,,I10,2010-Q2,99.741,AT2010-Q2
Q,AT,,,I10,2010-Q3,100.441,AT2010-Q3
Q,AT,,,I10,2010-Q4,101.040,AT2010-Q4
Q,AT,,,I10,2011-Q1,101.494,AT2011-Q1
Q,AT,,,I10,2011-Q2,101.441,AT2011-Q2
Q,AT,,,I10,2011-Q3,101.640,AT2011-Q3
Q,AT,,,I10,2011-Q4,101.300,AT2011-Q4
Q,AT,,,I10,2012-Q1,101.799,AT2012-Q1
Q,AT,,,I10,2012-Q2,101.258,AT2012-Q2
Q,AT,,,I10,2012-Q3,100.872,AT2012-Q3
Q,AT,,,I10,2012-Q4,100.758,AT2012-Q4
Q,AT,,,I10,2013-Q1,100.824,AT2013-Q1
Q,AT,,,I10,2013-Q2,100.604,AT2013-Q2
Q,AT,,,I10,2013-Q3,100.709,AT2013-Q3
Q,AT,,,I10,2013-Q4,101.008,AT2013-Q4
Q,AT,,,I10,2014-Q1,100.366,AT2014-Q1
Q,AT,,,I10,2014-Q2,100.834,AT2014-Q2
Q,AT,,,I10,2014-Q3,100.688,AT2014-Q3
Q,AT,,,I10,2014-Q4,100.696,AT2014-Q4
Q,AT,,,I10,2015-Q1,100.749,AT2015-Q1
Q,AT,,,I10,2015-Q2,100.818,AT2015-Q2
Q,AT,,,I10,2015-Q3,101.322,AT2015-Q3
Q,AT,,,I10,2015-Q4,101.268,AT2015-Q4
Q,AT,,,I10,2016-Q1,101.704,AT2016-Q1
Q,AT,,,I10,2016-Q2,101.497,AT2016-Q2
Q,AT,,,I10,2016-Q3,101.487,AT2016-Q3
Q,AT,,,I10,2016-Q4,102.143,AT2016-Q4
Q,AT,,,I10,2017-Q1,102.154,AT2017-Q1
Q,AT,,,I10,2017-Q2,102.289,AT2017-Q2
Q,AT,,,I10,2017-Q3,102.525,AT2017-Q3
Q,AT,,,I10,2017-Q4,102.660,AT2017-Q4
Q,AT,,,I10,2018-Q1,102.976,AT2018-Q1
Q,AT,,,I10,2018-Q2,102.735,AT2018-Q2
Q,AT,,,I10,2018-Q3,102.894,AT2018-Q3
Q,AT,,,I10,2018-Q4,103.833,AT2018-Q4
Q,AT,,,I10,2019-Q1,104.162,AT2019-Q1
Q,AT,,,I10,2019-Q2,103.465,AT2019-Q2
Q,AT,,,I10,2019-Q3,103.622,AT2019-Q3
Q,AT,,,I10,2019-Q4,102.715,AT2019-Q4
Q,AT,,,I10,2020-Q1,100.611,AT2020-Q1
Q,AT,,,I10,2020-Q2,93.003,AT2020-Q2
Q,AT,,,I10,2020-Q3,100.446,AT2020-Q3
Q,AT,,,I10,2020-Q4,98.147,AT2020-Q4
Q,AT,,,I10,2021-Q1,97.677,AT2021-Q1
Q,AT,,,I10,2021-Q2,99.688,AT2021-Q2
Q,AT,,,I10,2021-Q3,102.379,AT2021-Q3
Q,AT,,,I10,2021-Q4,101.615,AT2021-Q4
Q,AT,,,I10,2022-Q1,101.629,AT2022-Q1
Q,AT,,,I10,2022-Q2,103.232,AT2022-Q2
Q,AT,,,I10,2022-Q3,102.955,AT2022-Q3
Q,AT,,,I10,2022-Q4,102.293,AT2022-Q4
Q,AT,,,I10,2023-Q1,102.024,AT2023-Q1
Q,AT,,,I10,2023-Q2,100.666,AT2023-Q2
Q,AT,,,I10,2023-Q3,100.357,AT2023-Q3
Q,AT,,,I10,2023-Q4,100.332,AT2023-Q4
Q,AT,,,I10,2024-Q1,100.353,AT2024-Q1
Q,BE,,,I10,2010-Q1,99.420,BE2010-Q1
Q,BE,,,I10,2010-Q2,100.118,BE2010-Q2
Q,BE,,,I10,2010-Q3,100.140,BE2010-Q3
Q,BE,,,I10,2010-Q4,100.323,BE2010-Q4
Q,BE,,,I10,2011-Q1,100.379,BE2011-Q1
Q,BE,,,I10,2011-Q2,100.257,BE2011-Q2
Q,BE,,,I10,2011-Q3,100.320,BE2011-Q3
Q,BE,,,I10,2011-Q4,100.460,BE2011-Q4
