freq,geo,hhtyp,indic_is,unit,time_period,obs_value,key1
A,AL,,,THS_PER,2010,2913.03,AL2010
A,AL,,,THS_PER,2011,2905.20,AL2011
A,AL,,,THS_PER,2012,2900.40,AL2012
A,AL,,,THS_PER,2013,2895.09,AL2013
A,AL,,,THS_PER,2014,2889.10,AL2014
A,AL,,,THS_PER,2015,2880.70,AL2015
A,AL,,,THS_PER,2016,2876.10,AL2016
A,AL,,,THS_PER,2017,2873.46,AL2017
A,AL,,,THS_PER,2018,2866.38,AL2018
A,AL,,,THS_PER,2019,2854.19,AL2019
A,AL,,,THS_PER,2020,2837.85,AL2020
A,AL,,,THS_PER,2021,2811.67,AL2021
A,AT,,,THS_PER,2010,8361.07,AT2010
A,AT,,,THS_PER,2011,8388.53,AT2011
A,AT,,,THS_PER,2012,8426.31,AT2012
A,AT,,,THS_PER,2013,8477.23,AT2013
A,AT,,,THS_PER,2014,8543.93,AT2014
A,AT,,,THS_PER,2015,8629.52,AT2015
A,AT,,,THS_PER,2016,8739.81,AT2016
A,AT,,,THS_PER,2017,8795.07,AT2017
A,AT,,,THS_PER,2018,8837.71,AT2018
A,AT,,,THS_PER,2019,8877.64,AT2019
A,AT,,,THS_PER,2020,8916.85,AT2020
A,AT,,,THS_PER,2021,8951.52,AT2021
A,AT,,,THS_PER,2022,9052.86,AT2022
A,AT,,,THS_PER,2023,9133.30,AT2023
A,BE,,,THS_PER,2010,10896.00,BE2010
A,BE,,,THS_PER,2011,11038.00,BE2011
A,BE,,,THS_PER,2012,11107.00,BE2012
A,BE,,,THS_PER,2013,11159.00,BE2013
A,BE,,,THS_PER,2014,11209.00,BE2014
A,BE,,,THS_PER,2015,11274.00,BE2015
A,BE,,,THS_PER,2016,11331.00,BE2016
A,BE,,,THS_PER,2017,11375.00,BE2017
A,BE,,,THS_PER,2018,11427.00,BE2018
A,BE,,,THS_PER,2019,11489.00,BE2019
A,BE,,,THS_PER,2020,11539.00,BE2020
A,BE,,,THS_PER,2021,11586.00,BE2021
A,BE,,,THS_PER,2022,11680.00,BE2022
A,BE,,,THS_PER,2023,11760.00,BE2023
A,BG,,,THS_PER,2010,7534.29,BG2010
A,BG,,,THS_PER,2011,7348.33,BG2011
A,BG,,,THS_PER,2012,7305.89,BG2012
A,BG,,,THS_PER,2013,7265.12,BG2013
A,BG,,,THS_PER,2014,7223.94,BG2014
